Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,AQI Value_Normalized,CO AQI Value_Normalized,Ozone AQI Value_Normalized,NO2 AQI Value_Normalized,PM2.5 AQI Value_Normalized
russian federation,praskoveya,51,moderate,1,good,36,good,0,good,51,moderate,0.09109311740890688,0.007518796992481203,0.15319148936170213,0.0,0.10200000000000001
brazil,presidente dutra,41,good,1,good,5,good,1,good,41,good,0.0708502024291498,0.007518796992481203,0.02127659574468085,0.01098901098901099,0.082
italy,priolo gargallo,66,moderate,1,good,39,good,2,good,66,moderate,0.12145748987854252,0.007518796992481203,0.16595744680851063,0.02197802197802198,0.132
poland,przasnysz,34,good,1,good,34,good,0,good,20,good,0.05668016194331983,0.007518796992481203,0.1446808510638298,0.0,0.04
france,punaauia,22,good,0,good,22,good,0,good,6,good,0.032388663967611336,0.0,0.09361702127659574,0.0,0.012
united states of america,punta gorda,54,moderate,1,good,14,good,11,good,54,moderate,0.09716599190283401,0.007518796992481203,0.059574468085106386,0.1208791208791209,0.108
germany,puttlingen,62,moderate,1,good,35,good,3,good,62,moderate,0.11336032388663966,0.007518796992481203,0.14893617021276595,0.03296703296703297,0.124
belgium,puurs,64,moderate,1,good,29,good,7,good,64,moderate,0.11740890688259109,0.007518796992481203,0.12340425531914893,0.07692307692307693,0.128
russian federation,pyatigorsk,54,moderate,1,good,41,good,1,good,54,moderate,0.09716599190283401,0.007518796992481203,0.17446808510638298,0.01098901098901099,0.108
egypt,qalyub,142,unhealthy for sensitive groups,3,good,89,moderate,9,good,142,unhealthy for sensitive groups,0.27530364372469635,0.022556390977443608,0.37872340425531914,0.09890109890109891,0.28400000000000003
china,qinzhou,68,moderate,2,good,68,moderate,1,good,58,moderate,0.12550607287449392,0.015037593984962405,0.2893617021276596,0.01098901098901099,0.116
netherlands,raalte,41,good,1,good,24,good,6,good,41,good,0.0708502024291498,0.007518796992481203,0.1021276595744681,0.06593406593406594,0.082
india,radaur,158,unhealthy,3,good,139,unhealthy for sensitive groups,1,good,158,unhealthy,0.3076923076923077,0.022556390977443608,0.5914893617021276,0.01098901098901099,0.316
pakistan,radhan,158,unhealthy,1,good,50,good,1,good,158,unhealthy,0.3076923076923077,0.007518796992481203,0.2127659574468085,0.01098901098901099,0.316
republic of north macedonia,radovis,83,moderate,1,good,46,good,0,good,83,moderate,0.15587044534412955,0.007518796992481203,0.19574468085106383,0.0,0.166
france,raismes,59,moderate,1,good,30,good,4,good,59,moderate,0.10728744939271255,0.007518796992481203,0.1276595744680851,0.04395604395604396,0.11800000000000001
india,rajgir,154,unhealthy,3,good,100,unhealthy for sensitive groups,2,good,154,unhealthy,0.29959514170040485,0.022556390977443608,0.425531914893617,0.02197802197802198,0.308
italy,ramacca,55,moderate,1,good,47,good,0,good,55,moderate,0.09919028340080971,0.007518796992481203,0.2,0.0,0.11
united states of america,phoenix,72,moderate,1,good,4,good,23,good,72,moderate,0.13360323886639675,0.007518796992481203,0.01702127659574468,0.2527472527472528,0.14400000000000002
india,phulabani,161,unhealthy,2,good,71,moderate,0,good,161,unhealthy,0.31376518218623484,0.015037593984962405,0.3021276595744681,0.0,0.322
poland,piaseczno,28,good,1,good,28,good,2,good,28,good,0.04453441295546559,0.007518796992481203,0.11914893617021277,0.02197802197802198,0.056
india,pimpri,118,unhealthy for sensitive groups,2,good,30,good,2,good,118,unhealthy for sensitive groups,0.22672064777327935,0.015037593984962405,0.1276595744680851,0.02197802197802198,0.23600000000000002
brazil,pindobacu,33,good,0,good,10,good,1,good,33,good,0.05465587044534413,0.0,0.0425531914893617,0.01098901098901099,0.066
china,pingyin,150,unhealthy,3,good,95,moderate,6,good,150,unhealthy,0.291497975708502,0.022556390977443608,0.4042553191489362,0.06593406593406594,0.3
brazil,pinheiral,154,unhealthy,5,good,0,good,13,good,154,unhealthy,0.29959514170040485,0.03759398496240601,0.0,0.14285714285714288,0.308
india,piravam,81,moderate,1,good,24,good,1,good,81,moderate,0.15182186234817813,0.007518796992481203,0.1021276595744681,0.01098901098901099,0.162
colombia,plato,67,moderate,1,good,16,good,2,good,67,moderate,0.12348178137651822,0.007518796992481203,0.06808510638297872,0.02197802197802198,0.134
romania,poiana mare,62,moderate,1,good,37,good,1,good,62,moderate,0.11336032388663966,0.007518796992481203,0.1574468085106383,0.01098901098901099,0.124
russian federation,polevskoy,31,good,1,good,31,good,0,good,17,good,0.050607287449392704,0.007518796992481203,0.13191489361702127,0.0,0.034
france,pontarlier,56,moderate,1,good,35,good,0,good,56,moderate,0.10121457489878542,0.007518796992481203,0.14893617021276595,0.0,0.112
united states of america,pontiac,77,moderate,2,good,22,good,15,good,77,moderate,0.1437246963562753,0.015037593984962405,0.09361702127659574,0.16483516483516486,0.154
indonesia,pontianak,44,good,1,good,15,good,0,good,44,good,0.07692307692307693,0.007518796992481203,0.06382978723404255,0.0,0.088
brazil,porecatu,30,good,1,good,9,good,2,good,30,good,0.048582995951417005,0.007518796992481203,0.03829787234042553,0.02197802197802198,0.06
finland,pori,30,good,1,good,30,good,1,good,15,good,0.048582995951417005,0.007518796992481203,0.1276595744680851,0.01098901098901099,0.03
south africa,port elizabeth,79,moderate,3,good,18,good,5,good,79,moderate,0.14777327935222673,0.022556390977443608,0.07659574468085106,0.05494505494505495,0.158
united states of america,port neches,34,good,1,good,19,good,7,good,34,good,0.05668016194331983,0.007518796992481203,0.08085106382978724,0.07692307692307693,0.068
united kingdom of great britain and northern ireland,port talbot,51,moderate,1,good,20,good,5,good,51,moderate,0.09109311740890688,0.007518796992481203,0.0851063829787234,0.05494505494505495,0.10200000000000001
united states of america,portales,77,moderate,1,good,34,good,0,good,77,moderate,0.1437246963562753,0.007518796992481203,0.1446808510638298,0.0,0.154
united states of america,post falls,61,moderate,1,good,32,good,3,good,61,moderate,0.11133603238866396,0.007518796992481203,0.13617021276595745,0.03296703296703297,0.122
brazil,pouso alegre,32,good,1,good,7,good,2,good,32,good,0.05263157894736842,0.007518796992481203,0.029787234042553193,0.02197802197802198,0.064
china,dalinghe,64,moderate,3,good,64,moderate,4,good,64,moderate,0.11740890688259109,0.022556390977443608,0.2723404255319149,0.04395604395604396,0.128
russian federation,dalnegorsk,29,good,0,good,29,good,0,good,25,good,0.04655870445344129,0.0,0.12340425531914893,0.0,0.05
united republic of tanzania,dar es salaam,51,moderate,1,good,23,good,0,good,51,moderate,0.09109311740890688,0.007518796992481203,0.09787234042553192,0.0,0.10200000000000001
india,darbhanga,247,very unhealthy,3,good,162,unhealthy,1,good,247,very unhealthy,0.48785425101214575,0.022556390977443608,0.6893617021276596,0.01098901098901099,0.494
united states of america,dayton,45,good,1,good,32,good,7,good,45,good,0.07894736842105263,0.007518796992481203,0.13617021276595745,0.07692307692307693,0.09
belgium,deinze,36,good,1,good,25,good,3,good,36,good,0.060728744939271245,0.007518796992481203,0.10638297872340426,0.03296703296703297,0.07200000000000001
egypt,dekernes,81,moderate,2,good,81,moderate,4,good,56,moderate,0.15182186234817813,0.015037593984962405,0.3446808510638298,0.04395604395604396,0.112
haiti,delmas,124,unhealthy for sensitive groups,2,good,15,good,5,good,124,unhealthy for sensitive groups,0.23886639676113358,0.015037593984962405,0.06382978723404255,0.05494505494505495,0.248
united states of america,deming,72,moderate,1,good,26,good,2,good,72,moderate,0.13360323886639675,0.007518796992481203,0.11063829787234043,0.02197802197802198,0.14400000000000002
united kingdom of great britain and northern ireland,denton,55,moderate,0,good,32,good,1,good,55,moderate,0.09919028340080971,0.0,0.13617021276595745,0.01098901098901099,0.11
united states of america,destin,31,good,0,good,31,good,0,good,25,good,0.050607287449392704,0.0,0.13191489361702127,0.0,0.05
pakistan,dhadar,157,unhealthy,1,good,89,moderate,0,good,157,unhealthy,0.305668016194332,0.007518796992481203,0.37872340425531914,0.0,0.314
india,dharmapuri,60,moderate,1,good,31,good,1,good,60,moderate,0.10931174089068826,0.007518796992481203,0.13191489361702127,0.01098901098901099,0.12
pakistan,digri,153,unhealthy,1,good,40,good,0,good,153,unhealthy,0.2975708502024291,0.007518796992481203,0.1702127659574468,0.0,0.306
somalia,dinsor,22,good,0,good,19,good,0,good,22,good,0.032388663967611336,0.0,0.08085106382978724,0.0,0.044
philippines,dipolog,30,good,1,good,17,good,0,good,30,good,0.048582995951417005,0.007518796992481203,0.0723404255319149,0.0,0.06
latvia,dobele,44,good,1,good,34,good,0,good,44,good,0.07692307692307693,0.007518796992481203,0.1446808510638298,0.0,0.088
united states of america,grandville,47,good,1,good,37,good,4,good,47,good,0.08299595141700404,0.007518796992481203,0.1574468085106383,0.04395604395604396,0.094
netherlands,grave,37,good,0,good,32,good,2,good,37,good,0.06275303643724696,0.0,0.13617021276595745,0.02197802197802198,0.074
united states of america,green valley,44,good,1,good,14,good,8,good,44,good,0.07692307692307693,0.007518796992481203,0.059574468085106386,0.08791208791208792,0.088
united states of america,greendale,58,moderate,2,good,14,good,24,good,58,moderate,0.10526315789473684,0.015037593984962405,0.059574468085106386,0.26373626373626374,0.116
poland,grudziadz,37,good,0,good,33,good,0,good,37,good,0.06275303643724696,0.0,0.14042553191489363,0.0,0.074
colombia,guamo,89,moderate,3,good,3,good,6,good,89,moderate,0.1680161943319838,0.022556390977443608,0.012765957446808512,0.06593406593406594,0.178
italy,guardiagrele,52,moderate,2,good,38,good,7,good,52,moderate,0.09311740890688258,0.015037593984962405,0.16170212765957448,0.07692307692307693,0.10400000000000001
chad,guelengdeng,59,moderate,2,good,16,good,0,good,59,moderate,0.10728744939271255,0.015037593984962405,0.06808510638297872,0.0,0.11800000000000001
united kingdom of great britain and northern ireland,guildford,51,moderate,1,good,25,good,6,good,51,moderate,0.09109311740890688,0.007518796992481203,0.10638297872340426,0.06593406593406594,0.10200000000000001
philippines,guiset,66,moderate,1,good,26,good,1,good,66,moderate,0.12145748987854252,0.007518796992481203,0.11063829787234043,0.01098901098901099,0.132
russian federation,gukovo,38,good,1,good,38,good,0,good,13,good,0.06477732793522267,0.007518796992481203,0.16170212765957448,0.0,0.026000000000000002
united states of america,havre de grace,34,good,1,good,30,good,7,good,34,good,0.05668016194331983,0.007518796992481203,0.1276595744680851,0.07692307692307693,0.068
united states of america,hazelwood,88,moderate,2,good,11,good,20,good,88,moderate,0.1659919028340081,0.015037593984962405,0.04680851063829787,0.2197802197802198,0.176
germany,heddesheim,54,moderate,1,good,31,good,3,good,54,moderate,0.09716599190283401,0.007518796992481203,0.13191489361702127,0.03296703296703297,0.108
germany,heiligenhaus,44,good,1,good,28,good,3,good,44,good,0.07692307692307693,0.007518796992481203,0.11914893617021277,0.03296703296703297,0.088
united kingdom of great britain and northern ireland,hemel hempstead,51,moderate,1,good,26,good,6,good,51,moderate,0.09109311740890688,0.007518796992481203,0.11063829787234043,0.06593406593406594,0.10200000000000001
united states of america,hicksville,67,moderate,2,good,15,good,23,good,67,moderate,0.12348178137651822,0.015037593984962405,0.06382978723404255,0.2527472527472528,0.134
brazil,hidrolandia,42,good,1,good,5,good,2,good,42,good,0.0728744939271255,0.007518796992481203,0.02127659574468085,0.02197802197802198,0.084
india,gyanpur,189,unhealthy,2,good,99,moderate,1,good,189,unhealthy,0.37044534412955465,0.015037593984962405,0.42127659574468085,0.01098901098901099,0.378
germany,haiger,49,good,1,good,25,good,3,good,49,good,0.08704453441295547,0.007518796992481203,0.10638297872340426,0.03296703296703297,0.098
china,hangzhou,203,very unhealthy,5,good,203,very unhealthy,5,good,151,unhealthy,0.39878542510121456,0.03759398496240601,0.8638297872340426,0.05494505494505495,0.302
germany,harrislee,35,good,0,good,32,good,0,good,35,good,0.058704453441295545,0.0,0.13617021276595745,0.0,0.07
united states of america,harrison,90,moderate,1,good,25,good,2,good,90,moderate,0.1700404858299595,0.007518796992481203,0.10638297872340426,0.02197802197802198,0.18
india,harur,67,moderate,1,good,26,good,1,good,67,moderate,0.12348178137651822,0.007518796992481203,0.11063829787234043,0.01098901098901099,0.134
germany,hasbergen,36,good,0,good,34,good,1,good,36,good,0.060728744939271245,0.0,0.1446808510638298,0.01098901098901099,0.07200000000000001
france,haubourdin,48,good,1,good,28,good,4,good,48,good,0.08502024291497975,0.007518796992481203,0.11914893617021277,0.04395604395604396,0.096
united states of america,taunton,41,good,1,good,28,good,10,good,41,good,0.0708502024291498,0.007518796992481203,0.11914893617021277,0.1098901098901099,0.082
new zealand,tauranga,19,good,0,good,19,good,1,good,17,good,0.026315789473684213,0.0,0.08085106382978724,0.01098901098901099,0.034
tunisia,tawzar,73,moderate,1,good,43,good,0,good,73,moderate,0.13562753036437247,0.007518796992481203,0.18297872340425533,0.0,0.146
viet nam,tay ninh,45,good,0,good,18,good,1,good,45,good,0.07894736842105263,0.0,0.07659574468085106,0.01098901098901099,0.09
iran (islamic republic of),taybad,170,unhealthy,1,good,43,good,0,good,170,unhealthy,0.3319838056680162,0.007518796992481203,0.18297872340425533,0.0,0.34
italy,teano,47,good,1,good,47,good,1,good,36,good,0.08299595141700404,0.007518796992481203,0.2,0.01098901098901099,0.07200000000000001
india,tekkali,155,unhealthy,3,good,82,moderate,1,good,155,unhealthy,0.3016194331983806,0.022556390977443608,0.34893617021276596,0.01098901098901099,0.31
brazil,teodoro sampaio,46,good,1,good,9,good,1,good,46,good,0.08097165991902834,0.007518796992481203,0.03829787234042553,0.01098901098901099,0.092
mexico,tepeaca,172,unhealthy,5,good,2,good,11,good,172,unhealthy,0.3360323886639676,0.03759398496240601,0.00851063829787234,0.1208791208791209,0.34400000000000003
mexico,tequila,64,moderate,1,good,15,good,2,good,64,moderate,0.11740890688259109,0.007518796992481203,0.06382978723404255,0.02197802197802198,0.128
italy,teramo,44,good,1,good,44,good,1,good,38,good,0.07692307692307693,0.007518796992481203,0.18723404255319148,0.01098901098901099,0.076
viet nam,thai nguyen,150,unhealthy,3,good,150,unhealthy,1,good,105,unhealthy for sensitive groups,0.291497975708502,0.022556390977443608,0.6382978723404256,0.01098901098901099,0.21
china,tianjin,142,unhealthy for sensitive groups,4,good,113,unhealthy for sensitive groups,9,good,142,unhealthy for sensitive groups,0.27530364372469635,0.03007518796992481,0.48085106382978726,0.09890109890109891,0.28400000000000003
indonesia,tidore,21,good,0,good,13,good,0,good,21,good,0.030364372469635626,0.0,0.055319148936170216,0.0,0.042
romania,timisoara,47,good,1,good,42,good,0,good,47,good,0.08299595141700404,0.007518796992481203,0.17872340425531916,0.0,0.094
tunisia,tinjah,48,good,1,good,48,good,1,good,29,good,0.08502024291497975,0.007518796992481203,0.2042553191489362,0.01098901098901099,0.058
philippines,toboso,54,moderate,1,good,20,good,0,good,54,moderate,0.09716599190283401,0.007518796992481203,0.0851063829787234,0.0,0.108
japan,tokorozawa,60,moderate,1,good,44,good,3,good,60,moderate,0.10931174089068826,0.007518796992481203,0.18723404255319148,0.03296703296703297,0.12
mexico,toluca,166,unhealthy,4,good,8,good,19,good,166,unhealthy,0.32388663967611336,0.03007518796992481,0.03404255319148936,0.2087912087912088,0.332
brazil,itapissuma,27,good,0,good,23,good,1,good,27,good,0.04251012145748988,0.0,0.09787234042553192,0.01098901098901099,0.054
brazil,itarantim,23,good,1,good,7,good,1,good,23,good,0.03441295546558705,0.007518796992481203,0.029787234042553193,0.01098901098901099,0.046
brazil,itumbiara,31,good,1,good,13,good,0,good,31,good,0.050607287449392704,0.007518796992481203,0.055319148936170216,0.0,0.062
mexico,ixtaczoquitlan,88,moderate,3,good,13,good,9,good,88,moderate,0.1659919028340081,0.022556390977443608,0.055319148936170216,0.09890109890109891,0.176
el salvador,izalco,90,moderate,2,good,22,good,9,good,90,moderate,0.1700404858299595,0.015037593984962405,0.09361702127659574,0.09890109890109891,0.18
united republic of tanzania,izazi,28,good,1,good,15,good,0,good,28,good,0.04453441295546559,0.007518796992481203,0.06382978723404255,0.0,0.056
russian federation,izberbash,51,moderate,1,good,38,good,0,good,51,moderate,0.09109311740890688,0.007518796992481203,0.16170212765957448,0.0,0.10200000000000001
india,jabalpur,170,unhealthy,1,good,38,good,0,good,170,unhealthy,0.3319838056680162,0.007518796992481203,0.16170212765957448,0.0,0.34
brazil,jaguaquara,22,good,0,good,9,good,1,good,22,good,0.032388663967611336,0.0,0.03829787234042553,0.01098901098901099,0.044
india,jahanabad,168,unhealthy,4,good,168,unhealthy,1,good,156,unhealthy,0.32793522267206476,0.03007518796992481,0.7148936170212766,0.01098901098901099,0.312
bulgaria,jambol,40,good,1,good,40,good,0,good,32,good,0.06882591093117409,0.007518796992481203,0.1702127659574468,0.0,0.064
poland,jarocin,47,good,1,good,27,good,2,good,47,good,0.08299595141700404,0.007518796992481203,0.1148936170212766,0.02197802197802198,0.094
philippines,jasaan,59,moderate,1,good,32,good,0,good,59,moderate,0.10728744939271255,0.007518796992481203,0.13617021276595745,0.0,0.11800000000000001
nigeria,ilobu,133,unhealthy for sensitive groups,4,good,23,good,3,good,133,unhealthy for sensitive groups,0.25708502024291496,0.03007518796992481,0.09787234042553192,0.03296703296703297,0.266
finland,imatra,29,good,1,good,29,good,1,good,7,good,0.04655870445344129,0.007518796992481203,0.12340425531914893,0.01098901098901099,0.014
brazil,indaial,73,moderate,2,good,2,good,8,good,73,moderate,0.13562753036437247,0.015037593984962405,0.00851063829787234,0.08791208791208792,0.146
philippines,indang,50,good,0,good,24,good,0,good,50,good,0.08906882591093117,0.0,0.1021276595744681,0.0,0.1
brazil,itagi,25,good,0,good,9,good,1,good,25,good,0.038461538461538464,0.0,0.03829787234042553,0.01098901098901099,0.05
nigeria,iseyin,90,moderate,3,good,18,good,2,good,90,moderate,0.1700404858299595,0.022556390977443608,0.07659574468085106,0.02197802197802198,0.18
mexico,isla,81,moderate,2,good,26,good,3,good,81,moderate,0.15182186234817813,0.015037593984962405,0.11063829787234043,0.03296703296703297,0.162
brazil,itaitinga,29,good,0,good,20,good,1,good,29,good,0.04655870445344129,0.0,0.0851063829787234,0.01098901098901099,0.058
brazil,itambe,21,good,0,good,8,good,1,good,21,good,0.030364372469635626,0.0,0.03404255319148936,0.01098901098901099,0.042
brazil,itapemirim,44,good,1,good,16,good,1,good,44,good,0.07692307692307693,0.007518796992481203,0.06808510638297872,0.01098901098901099,0.088
south sudan,torit,65,moderate,1,good,12,good,0,good,65,moderate,0.11943319838056679,0.007518796992481203,0.05106382978723405,0.0,0.13
guatemala,totonicapan,66,moderate,2,good,7,good,6,good,66,moderate,0.12145748987854252,0.015037593984962405,0.029787234042553193,0.06593406593406594,0.132
united states of america,trenton,53,moderate,1,good,28,good,10,good,53,moderate,0.0951417004048583,0.007518796992481203,0.11914893617021277,0.1098901098901099,0.106
united states of america,trujillo alto,56,moderate,0,good,23,good,0,good,56,moderate,0.10121457489878542,0.0,0.09787234042553192,0.0,0.112
ireland,tullamore,57,moderate,1,good,26,good,3,good,57,moderate,0.10323886639676114,0.007518796992481203,0.11063829787234043,0.03296703296703297,0.114
turkey,tunceli,62,moderate,0,good,35,good,0,good,62,moderate,0.11336032388663966,0.0,0.14893617021276595,0.0,0.124
viet nam,tuyen quang,167,unhealthy,4,good,167,unhealthy,1,good,107,unhealthy for sensitive groups,0.3259109311740891,0.03007518796992481,0.7106382978723405,0.01098901098901099,0.214
united states of america,two rivers,49,good,1,good,27,good,4,good,49,good,0.08704453441295547,0.007518796992481203,0.1148936170212766,0.04395604395604396,0.098
